Marca temporal,edad,genero,escolaridad,trabajo,compartesdom,mayor60,salud,vacuna,contagio,porbcontagio,fallecido,medidas,preosoc,estres,eventos,deporte,estadios,veiled2,directreport2,sensitive2
2021/11/30 11:45:09 a. m. GMT-6,18,Mujer,Licenciatura,Si,4 o mas,No,Muy buena,No,Si,4,No,5,3,4,No,Si,Indiferente,1,3,No
2021/11/30 11:47:41 a. m. GMT-6,20,Hombre,Preparatoria,No,1,No,Muy buena,Si,No,2,No,4,3,2,No,No,No estoy de acuerdo,4,2,Si
2021/11/30 11:48:57 a. m. GMT-6,15,Mujer,Secundaria,Si,3,No,Buena,No me he vacunado,No,2,No,5,2,4,No,Si,No estoy de acuerdo,4,2,Si
2021/11/30 11:53:22 a. m. GMT-6,26,Mujer,Licenciatura,Si,0,No,Buena,Si,No,3,Si,5,3,5,No,No,No estoy de acuerdo,3,4,Si
2021/11/30 11:58:06 a. m. GMT-6,21,Hombre,Licenciatura,No,3,Si,Buena,Si,No,2,No,4,3,1,Si,No,No estoy de acuerdo,0,2,Si
2021/11/30 11:58:52 a. m. GMT-6,27,Hombre,Preparatoria,Si,4 o mas,Si,Buena,Si,No,2,No,5,2,1,Si,Si,Indiferente,5,4,No
2021/11/30 12:01:13 p. m. GMT-6,37,Mujer,Posgrado,No,3,No,Muy buena,Si,No,2,No,4,4,2,Si,No,No estoy de acuerdo,4,1,Si
2021/11/30 12:01:19 p. m. GMT-6,28,Hombre,Preparatoria,Si,0,No,Muy buena,No,No,1,Si,1,1,3,Si,No,Indiferente,0,4,Si
2021/11/30 12:09:55 p. m. GMT-6,31,Mujer,Licenciatura,No,2,No,Muy buena,Si,No,2,No,4,4,4,No,No,No estoy de acuerdo,5,1,Si
2021/11/30 12:13:34 p. m. GMT-6,26,Hombre,Licenciatura,Si,2,No,Ni mala ni buena,Si,No,3,No,3,3,5,No,No,No estoy de acuerdo,2,2,No
2021/11/30 12:20:15 p. m. GMT-6,57,Hombre,Licenciatura,Si,4 o mas,No,Buena,Si,No,3,Si,5,4,4,Si,Si,Estoy de acuerdo,3,4,Si
2021/11/30 12:21:08 p. m. GMT-6,42,Hombre,Posgrado,Si,0,No,Muy buena,Si,No,3,No,5,5,5,No,Si,No estoy de acuerdo,3,3,No
2021/11/30 12:27:00 p. m. GMT-6,33,Hombre,Licenciatura,No,2,No,Buena,Si,No,5,No,4,5,4,No,No,No estoy de acuerdo,4,3,No
2021/11/30 12:27:52 p. m. GMT-6,29,Hombre,Licenciatura,No,3,No,Muy buena,Si,No,2,No,4,5,5,Si,Si,Estoy de acuerdo,3,4,Si
2021/11/30 12:31:20 p. m. GMT-6,48,Mujer,Preparatoria,Si,2,Si,Buena,Si,No,2,Si,3,3,3,No,No,Indiferente,1,3,No
2021/11/30 12:35:57 p. m. GMT-6,26,Hombre,Preparatoria,No,3,No,Buena,Si,No,1,No,5,1,1,No,No,Indiferente,5,4,No
2021/11/30 12:41:02 p. m. GMT-6,21,Mujer,Preparatoria,Si,4 o mas,No,Muy buena,No,No,2,No,4,4,5,No,No,No estoy de acuerdo,4,1,Si
2021/11/30 12:46:05 p. m. GMT-6,67,Hombre,Posgrado,No,2,Si,Buena,Si,No,3,Si,5,4,4,No,Si,Estoy de acuerdo,3,2,No
2021/11/30 12:51:14 p. m. GMT-6,18,Hombre,Preparatoria,No,4 o mas,Si,Buena,Si,No,3,No,2,4,2,Si,No,Indiferente,4,3,Si
2021/11/30 12:59:26 p. m. GMT-6,31,Hombre,Licenciatura,No,2,No,Buena,Si,No,4,Si,4,2,3,Si,Si,Indiferente,5,2,No
2021/11/30 1:00:53 p. m. GMT-6,28,Hombre,Licenciatura,No,0,No,Ni mala ni buena,Si,Si,3,No,4,5,5,Si,Si,Estoy de acuerdo,3,4,Si
2021/11/30 1:03:05 p. m. GMT-6,48,Hombre,Secundaria,Si,4 o mas,No,Muy buena,Si,No,3,No,3,4,5,No,Si,Indiferente,3,2,No
2021/11/30 1:07:12 p. m. GMT-6,35,Hombre,Licenciatura,No,1,Si,Buena,Si,No,2,Si,4,3,4,Si,Si,Estoy de acuerdo,2,2,No
2021/11/30 1:08:23 p. m. GMT-6,57,Hombre,Preparatoria,No,3,No,Muy buena,Si,No,1,No,3,5,4,No,No,No estoy de acuerdo,2,3,No
2021/11/30 1:15:10 p. m. GMT-6,26,Hombre,Licenciatura,Si,4 o mas,No,Buena,Si,No,3,No,4,5,5,No,Si,Indiferente,5,4,Si
2021/11/30 1:25:02 p. m. GMT-6,22,Mujer,Licenciatura,No,2,No,Buena,Si,Si,3,No,2,1,3,No,No,Indiferente,4,4,Si
2021/11/30 1:29:07 p. m. GMT-6,28,Mujer,Licenciatura,Si,1,No,Buena,Si,Si,3,No,2,5,2,No,Si,Indiferente,5,4,No
2021/11/30 1:47:08 p. m. GMT-6,39,Mujer,Licenciatura,No,3,No,Muy buena,Si,No,3,Si,5,3,5,No,Si,No estoy de acuerdo,4,4,No
2021/11/30 1:51:03 p. m. GMT-6,45,Mujer,Posgrado,Si,2,No,Buena,No,No,2,Si,5,4,5,Si,Si,Indiferente,4,3,Si
2021/11/30 2:03:37 p. m. GMT-6,62,Mujer,Posgrado,No,1,Si,Muy buena,Si,No,2,No,4,5,3,No,Si,No estoy de acuerdo,2,2,Si
2021/11/30 2:23:47 p. m. GMT-6,32,Mujer,Licenciatura,Si,1,No,Buena,Si,No,3,No,3,3,3,No,Si,No estoy de acuerdo,5,3,No
2021/11/30 2:27:14 p. m. GMT-6,34,Hombre,Licenciatura,Si,1,No,Ni mala ni buena,Si,Si,3,No,4,2,4,No,Si,Indiferente,4,3,No
2021/11/30 2:27:50 p. m. GMT-6,58,Mujer,Licenciatura,Si,3,Si,Ni mala ni buena,Si,No,3,Si,5,4,4,Si,Si,Indiferente,4,3,Si
2021/11/30 2:34:41 p. m. GMT-6,48,Mujer,Posgrado,Si,1,Si,Buena,Si,No,2,No,4,5,4,Si,No,Indiferente,2,3,Si
2021/11/30 2:37:31 p. m. GMT-6,38,Mujer,Licenciatura,Si,4 o mas,No,Muy buena,Si,No,2,Si,4,4,3,No,Si,Indiferente,3,2,No
2021/11/30 2:42:00 p. m. GMT-6,42,Mujer,Preparatoria,Si,3,No,Buena,Si,Si,3,No,5,5,5,No,Si,No estoy de acuerdo,3,2,No
2021/11/30 2:58:30 p. m. GMT-6,38,Mujer,Licenciatura,No,3,Si,Buena,Si,Si,2,No,4,3,5,No,Si,No estoy de acuerdo,3,3,Si
2021/11/30 3:11:34 p. m. GMT-6,32,Mujer,Licenciatura,No,1,No,Buena,Si,No,3,Si,2,5,5,Si,No,No estoy de acuerdo,2,3,Si
2021/11/30 3:13:37 p. m. GMT-6,51,Mujer,Posgrado,No,3,No,Muy buena,Si,No,3,No,4,3,4,Si,Si,Estoy de acuerdo,3,2,Si
2021/11/30 3:29:12 p. m. GMT-6,50,Mujer,Posgrado,Si,2,No,Muy buena,Si,No,3,Si,5,5,5,No,No,No estoy de acuerdo,1,1,Si
2021/11/30 3:37:03 p. m. GMT-6,24,Hombre,Posgrado,No,4 o mas,No,Buena,Si,No,3,Si,4,2,1,Si,Si,Indiferente,4,2,Si
2021/11/30 3:37:08 p. m. GMT-6,53,Mujer,Posgrado,Si,0,No,Muy buena,Si,No,3,Si,5,3,3,Si,Si,No estoy de acuerdo,1,3,No
2021/11/30 3:37:27 p. m. GMT-6,37,Mujer,Posgrado,No,0,No,Buena,Si,No,1,No,4,2,3,Si,No,No estoy de acuerdo,3,4,Si
2021/11/30 4:15:15 p. m. GMT-6,45,Hombre,Posgrado,No,1,No,Muy buena,Si,No,1,Si,5,5,3,Si,Si,Indiferente,5,3,Si
2021/11/30 4:27:23 p. m. GMT-6,58,Mujer,Licenciatura,No,1,Si,Muy buena,Si,No,2,Si,4,3,2,No,Si,Indiferente,4,2,Si
2021/11/30 4:37:18 p. m. GMT-6,31,Hombre,Licenciatura,Si,3,No,Buena,Si,No,2,Si,3,4,1,Si,No,No estoy de acuerdo,4,3,Si
2021/11/30 4:42:34 p. m. GMT-6,25,Mujer,Licenciatura,No,4 o mas,Si,Ni mala ni buena,Si,No,3,Si,5,5,4,No,Si,No estoy de acuerdo,4,3,Si
2021/11/30 5:17:01 p. m. GMT-6,34,Mujer,Licenciatura,No,3,Si,Buena,Si,No,2,Si,4,1,3,No,Si,No estoy de acuerdo,4,3,No
2021/11/30 5:22:20 p. m. GMT-6,54,Hombre,Licenciatura,Si,4 o mas,Si,Buena,Si,Si,1,No,4,1,3,No,Si,Indiferente,4,3,No
2021/11/30 5:27:07 p. m. GMT-6,38,Mujer,Posgrado,Si,2,No,Ni mala ni buena,Si,No,2,Si,4,3,3,No,No,No estoy de acuerdo,3,3,No
2021/11/30 5:38:04 p. m. GMT-6,38,Mujer,Licenciatura,No,3,No,Ni mala ni buena,Si,No,3,No,5,5,5,No,No,No estoy de acuerdo,0,0,No
2021/11/30 6:12:20 p. m. GMT-6,50,Mujer,Posgrado,Si,2,No,Muy buena,Si,No,2,No,5,2,2,Si,Si,No estoy de acuerdo,4,4,Si
2021/11/30 6:15:23 p. m. GMT-6,68,Mujer,Posgrado,No,1,No,Ni mala ni buena,Si,No,2,Si,5,1,3,No,No,No estoy de acuerdo,5,3,No
2021/11/30 6:30:12 p. m. GMT-6,35,Mujer,Licenciatura,Si,3,Si,Muy buena,Si,Si,2,No,5,3,3,No,Si,Indiferente,1,4,No
2021/11/30 7:03:24 p. m. GMT-6,31,Hombre,Licenciatura,Si,3,No,Buena,Si,Si,3,Si,5,5,5,No,Si,No estoy de acuerdo,5,3,Si
2021/11/30 7:12:54 p. m. GMT-6,23,Hombre,Preparatoria,No,1,No,Buena,Si,No,2,Si,3,4,4,No,Si,Indiferente,4,4,Si
2021/11/30 7:28:20 p. m. GMT-6,77,Mujer,Posgrado,No,4 o mas,Si,Ni mala ni buena,Si,No,1,Si,5,4,3,Si,No,No estoy de acuerdo,2,2,No
2021/11/30 7:33:04 p. m. GMT-6,29,Mujer,Licenciatura,Si,1,No,Ni mala ni buena,Si,Si,3,No,3,4,4,Si,No,No estoy de acuerdo,3,2,Si
2021/11/30 7:38:38 p. m. GMT-6,40,Hombre,Posgrado,No,2,No,Muy buena,Si,No,3,Si,5,4,5,Si,No,Indiferente,4,3,No
2021/11/30 7:43:15 p. m. GMT-6,35,Hombre,Posgrado,Si,4 o mas,No,Ni mala ni buena,Si,No,1,No,4,1,1,No,Si,Indiferente,2,1,No
2021/11/30 7:56:34 p. m. GMT-6,24,Hombre,Preparatoria,Si,2,No,Buena,Si,Si,4,Si,3,1,1,No,Si,Indiferente,2,3,No
2021/11/30 8:14:04 p. m. GMT-6,31,Hombre,Posgrado,No,4 o mas,Si,Muy buena,Si,No,2,No,5,4,3,Si,No,No estoy de acuerdo,3,3,Si
2021/11/30 8:17:18 p. m. GMT-6,25,Mujer,Licenciatura,No,0,No,Muy buena,Si,No,3,Si,5,5,4,No,No,No estoy de acuerdo,2,3,Si
2021/11/30 8:50:45 p. m. GMT-6,53,Hombre,Licenciatura,Si,0,No,Buena,Si,No,3,Si,5,3,5,No,Si,Indiferente,3,2,No
2021/11/30 8:50:58 p. m. GMT-6,45,Mujer,Licenciatura,Si,3,No,Buena,Si,No,3,Si,4,4,5,Si,Si,No estoy de acuerdo,3,4,No
2021/11/30 8:55:40 p. m. GMT-6,23,Hombre,Licenciatura,Si,2,Si,Muy buena,Si,No,3,Si,5,5,5,Si,Si,Estoy de acuerdo,0,2,Si
2021/11/30 8:56:11 p. m. GMT-6,32,Hombre,Licenciatura,Si,3,No,Buena,No,Si,2,No,3,3,2,Si,No,No estoy de acuerdo,4,3,Si
2021/11/30 10:13:01 p. m. GMT-6,46,Mujer,Licenciatura,Si,4 o mas,Si,Buena,Si,Si,3,Si,3,3,3,Si,No,Indiferente,4,3,Si
2021/11/30 10:33:35 p. m. GMT-6,48,Hombre,Posgrado,Si,3,Si,Buena,No,Si,1,No,5,5,5,No,Si,Indiferente,3,2,No
2021/11/30 10:44:50 p. m. GMT-6,42,Hombre,Licenciatura,No,1,Si,Mala,Si,No,2,No,5,2,5,Si,No,No estoy de acuerdo,3,3,No
2021/11/30 11:39:22 p. m. GMT-6,39,Mujer,Secundaria,Si,2,No,Muy buena,Si,No,3,Si,5,4,5,No,No,No estoy de acuerdo,3,2,No
2021/12/01 8:45:13 a. m. GMT-6,27,Hombre,Licenciatura,Si,3,Si,Muy buena,Si,No,4,No,5,4,4,Si,No,Estoy de acuerdo,3,4,No
2021/12/01 9:33:48 a. m. GMT-6,41,Mujer,Posgrado,No,0,No,Buena,Si,Si,1,No,4,3,3,No,Si,Indiferente,3,2,Si
2021/12/01 8:42:34 p. m. GMT-6,53,Mujer,Posgrado,Si,2,Si,Ni mala ni buena,Si,No,2,Si,5,3,3,Si,Si,No estoy de acuerdo,4,2,No
2021/12/01 10:38:24 p. m. GMT-6,27,Mujer,Licenciatura,No,2,Si,Buena,Si,No,3,Si,5,4,4,Si,Si,No estoy de acuerdo,4,4,Si
2021/12/02 8:41:07 a. m. GMT-6,27,Hombre,Licenciatura,No,1,No,Ni mala ni buena,Si,No,1,Si,3,3,4,Si,No,Indiferente,3,3,Si
2021/12/02 3:05:50 p. m. GMT-6,43,Mujer,Licenciatura,No,4 o mas,No,Muy buena,Si,Si,1,No,5,4,3,Si,No,No estoy de acuerdo,5,4,Si
2021/12/02 3:10:42 p. m. GMT-6,44,Mujer,Posgrado,No,4 o mas,No,Muy buena,Si,No,1,No,5,1,1,Si,Si,No estoy de acuerdo,2,3,No
2021/12/02 3:29:52 p. m. GMT-6,48,Mujer,Posgrado,No,1,No,Buena,Si,No,2,No,5,5,5,No,No,Indiferente,2,2,Si
2021/12/02 3:55:34 p. m. GMT-6,46,Mujer,Posgrado,No,4 o mas,Si,Muy buena,Si,No,1,Si,5,1,3,Si,No,No estoy de acuerdo,1,2,Si
2021/12/02 5:33:13 p. m. GMT-6,56,Mujer,Licenciatura,No,0,No,Buena,Si,Si,1,No,5,1,3,No,Si,Indiferente,1,1,Si
2021/12/02 9:19:47 p. m. GMT-6,50,Hombre,Posgrado,No,4 o mas,No,Buena,Si,No,3,Si,5,2,1,Si,Si,No estoy de acuerdo,3,4,No
2021/12/04 4:58:47 p. m. GMT-6,32,Mujer,Licenciatura,Si,1,No,Buena,No,No,3,No,4,1,4,Si,No,Indiferente,4,2,Si
2021/12/04 5:14:08 p. m. GMT-6,42,Mujer,Posgrado,Si,2,No,Buena,Si,No,1,No,4,4,4,Si,Si,No estoy de acuerdo,2,2,No
2021/12/04 5:58:30 p. m. GMT-6,24,Mujer,Preparatoria,Si,3,No,Buena,Si,Si,2,No,5,1,5,No,No,Indiferente,4,3,Si
2021/12/04 7:13:24 p. m. GMT-6,35,Mujer,Licenciatura,Si,4 o mas,No,Buena,Si,Si,2,No,4,3,4,Si,No,Indiferente,0,3,Si
2021/12/04 7:33:58 p. m. GMT-6,44,Mujer,Posgrado,No,4 o mas,No,Muy buena,Si,No,4,No,5,4,2,Si,Si,Indiferente,1,3,Si
2021/12/04 9:46:20 p. m. GMT-6,62,Mujer,Licenciatura,No,3,No,Buena,Si,No,3,Si,4,4,4,No,Si,No estoy de acuerdo,5,4,Si
2021/12/04 9:55:51 p. m. GMT-6,61,Mujer,Posgrado,Si,3,Si,Muy buena,No,Si,1,No,5,5,1,No,No,No estoy de acuerdo,5,3,No
2021/12/05 10:37:01 a. m. GMT-6,43,Hombre,Licenciatura,Si,1,No,Muy buena,Si,No,2,No,4,4,1,Si,Si,Indiferente,5,4,Si
2021/12/05 12:10:00 p. m. GMT-6,33,Mujer,Licenciatura,No,4 o mas,Si,Buena,Si,Si,3,Si,5,3,2,No,No,No estoy de acuerdo,3,3,Si
2021/12/05 3:25:15 p. m. GMT-6,44,Hombre,Posgrado,No,0,No,Buena,Si,No,2,No,5,1,2,Si,Si,Indiferente,5,4,Si
2021/12/06 8:28:56 a. m. GMT-6,29,Hombre,Posgrado,No,1,Si,Buena,Si,No,3,No,4,4,3,Si,No,No estoy de acuerdo,3,2,No
2021/12/08 7:58:19 a. m. GMT-6,54,Hombre,Posgrado,Si,4 o mas,Si,Buena,Si,No,3,Si,5,4,4,Si,Si,Indiferente,2,3,Si
